technician_id,name,location,month,hours_worked,efficient_hours,days_worked,revenue,materials_cost,total_clients,old_clients,base_rate,salary,profitability_pct,client_retention_pct,workload_pct,workdays_utilization_pct,pft_completion_pct,final_score,tier,bonus_gbp
T001,Olena A.,North Studio,April,133.2,91.9,21,4855.43,272.6,78,3,14.1,1878.12,94.39,3.85,68.99,80.77,104.19,68.0,Top-performer,200
T001,Olena A.,North Studio,May,133.0,98.2,21,4799.03,259.59,25,7,14.1,1875.3,94.59,28.0,73.83,80.77,98.19,73.8,Top-performer,200
T001,Olena A.,North Studio,June,217.9,177.3,13,7260.81,356.27,66,5,14.1,3072.39,95.09,7.58,81.37,50.0,86.11,66.4,Top-performer,200
T001,Olena A.,North Studio,July,109.3,72.9,12,3992.49,173.36,51,5,14.1,1541.13,95.66,9.8,66.7,46.15,88.87,64.6,Reliable,100
T001,Olena A.,North Studio,August,117.8,97.9,17,4427.47,251.73,27,7,14.1,1660.98,94.31,25.93,83.11,65.38,99.65,74.6,Top-performer,200
T002,Maria B.,Market Square,April,192.7,134.9,12,5964.79,351.08,60,6,14.98,2886.65,94.11,10.0,70.01,46.15,94.66,66.0,Top-performer,200
T002,Maria B.,Market Square,May,135.4,112.2,24,4062.03,173.82,91,8,14.98,2028.29,95.72,8.79,82.87,92.31,97.41,71.6,Top-performer,200
T002,Maria B.,Market Square,June,140.0,104.4,21,4349.87,260.78,85,15,14.98,2097.2,94.0,17.65,74.57,80.77,77.73,67.1,Top-performer,200
T002,Maria B.,Market Square,July,86.6,54.3,15,3385.12,163.99,28,12,14.98,1297.27,95.16,42.86,62.7,57.69,86.45,72.0,Top-performer,200
T002,Maria B.,Market Square,August,219.5,160.7,10,8236.51,348.33,88,8,14.98,3288.11,95.77,9.09,73.21,38.46,98.06,67.2,Top-performer,200
T003,Sofia C.,Riverside,April,127.6,85.9,15,4383.33,258.95,53,5,16.95,2162.82,94.09,9.43,67.32,57.69,90.23,65.0,Top-performer,200
T003,Sofia C.,Riverside,May,94.9,71.8,26,3466.28,149.25,40,0,16.95,1608.56,95.69,0.0,75.66,100.0,92.97,67.4,Top-performer,200
T003,Sofia C.,Riverside,June,148.4,93.2,21,5980.83,338.71,59,7,16.95,2515.38,94.34,11.86,62.8,80.77,76.74,63.2,Reliable,100
T003,Sofia C.,Riverside,July,202.9,169.8,12,7760.26,437.06,88,4,16.95,3439.15,94.37,4.55,83.69,46.15,78.85,64.3,Reliable,100
T003,Sofia C.,Riverside,August,146.5,108.0,18,5184.26,270.27,47,6,16.95,2483.17,94.79,12.77,73.72,69.23,96.39,69.1,Top-performer,200
T004,Nadia D.,Park Lane,April,135.9,104.4,21,4638.73,233.57,35,7,14.35,1950.16,94.96,20.0,76.82,80.77,81.74,69.2,Top-performer,200
T004,Nadia D.,Park Lane,May,127.3,95.1,17,4613.12,185.19,110,1,14.35,1826.75,95.99,0.91,74.71,65.38,81.87,63.6,Reliable,100
T004,Nadia D.,Park Lane,June,206.8,168.5,12,7278.98,331.7,82,6,14.35,2967.58,95.44,7.32,81.48,46.15,91.18,67.3,Top-performer,200
T004,Nadia D.,Park Lane,July,181.3,148.8,25,5693.18,281.58,72,6,14.35,2601.66,95.05,8.33,82.07,96.15,77.83,67.4,Top-performer,200
T004,Nadia D.,Park Lane,August,172.3,118.6,23,5950.96,324.81,106,3,14.35,2472.51,94.54,2.83,68.83,88.46,76.82,62.6,Reliable,100
T005,Iryna E.,Garden Court,April,181.9,145.5,13,5726.43,250.84,77,4,14.13,2570.25,95.62,5.19,79.99,50.0,87.66,66.0,Top-performer,200
T005,Iryna E.,Garden Court,May,119.0,78.8,12,4070.26,232.93,90,3,14.13,1681.47,94.28,3.33,66.22,46.15,76.52,60.0,Reliable,100
T005,Iryna E.,Garden Court,June,219.9,177.9,12,9009.11,513.28,41,13,14.13,3107.19,94.3,31.71,80.9,46.15,89.57,72.6,Top-performer,200
T005,Iryna E.,Garden Court,July,109.9,77.0,11,3330.51,133.36,69,8,14.13,1552.89,96.0,11.59,70.06,42.31,102.8,68.4,Top-performer,200
T005,Iryna E.,Garden Court,August,189.9,127.5,25,5728.74,263.14,27,1,14.13,2683.29,95.41,3.7,67.14,96.15,97.44,67.3,Top-performer,200
T006,Kateryna F.,North Studio,April,88.0,65.7,26,3596.68,182.07,27,2,14.87,1308.56,94.94,7.41,74.66,100.0,100.54,70.4,Top-performer,200
T006,Kateryna F.,North Studio,May,89.6,55.3,17,3015.3,177.4,92,7,14.87,1332.35,94.12,7.61,61.72,65.38,92.37,64.2,Reliable,100
T006,Kateryna F.,North Studio,June,85.6,53.1,26,2775.94,125.51,105,10,14.87,1272.87,95.48,9.52,62.03,100.0,82.16,64.9,Reliable,100
T006,Kateryna F.,North Studio,July,135.4,104.0,19,4657.91,272.86,29,0,14.87,2013.4,94.14,0.0,76.81,73.08,88.75,65.0,Top-performer,200
T006,Kateryna F.,North Studio,August,219.8,186.6,12,7808.81,391.36,36,11,14.87,3268.43,94.99,30.56,84.9,46.15,101.43,75.7,Top-performer,200
T007,Anna G.,Park Lane,April,203.1,140.6,15,6932.73,352.63,58,0,16.41,3332.87,94.91,0.0,69.23,57.69,95.04,64.2,Reliable,100
T007,Anna G.,Park Lane,May,157.6,131.3,13,6484.46,276.79,34,3,16.41,2586.22,95.73,8.82,83.31,50.0,97.27,69.5,Top-performer,200
T007,Anna G.,Park Lane,June,101.8,68.3,16,3873.14,170.7,101,8,16.41,1670.54,95.59,7.92,67.09,61.54,90.16,65.2,Top-performer,200
T007,Anna G.,Park Lane,July,115.2,95.3,11,3374.46,163.57,55,1,16.41,1890.43,95.15,1.82,82.73,42.31,75.11,62.7,Reliable,100
T007,Anna G.,Park Lane,August,188.0,142.7,18,5689.28,277.85,110,13,16.41,3085.08,95.12,11.82,75.9,69.23,91.83,68.5,Top-performer,200
T008,Vika H.,Park Lane,April,95.7,80.0,14,3410.58,193.35,94,4,14.8,1416.36,94.33,4.26,83.59,53.85,87.89,66.4,Top-performer,200
T008,Vika H.,Park Lane,May,85.9,59.4,11,3486.25,154.1,51,3,14.8,1271.32,95.58,5.88,69.15,42.31,85.61,63.2,Reliable,100
T008,Vika H.,Park Lane,June,158.4,129.7,14,6488.17,290.25,40,5,14.8,2344.32,95.53,12.5,81.88,53.85,101.44,71.1,Top-performer,200
T008,Vika H.,Park Lane,July,83.5,65.5,20,3252.61,156.89,105,7,14.8,1235.8,95.18,6.67,78.44,76.92,83.0,66.4,Top-performer,200
T008,Vika H.,Park Lane,August,190.2,119.3,11,7611.86,338.34,78,11,14.8,2814.96,95.56,14.1,62.72,42.31,84.16,63.7,Reliable,100
T009,Diana I.,Park Lane,April,191.3,125.7,10,7124.1,341.74,55,2,15.68,2999.58,95.2,3.64,65.71,38.46,104.01,65.3,Top-performer,200
T009,Diana I.,Park Lane,May,119.1,90.6,22,4467.83,254.1,62,0,15.68,1867.49,94.31,0.0,76.07,84.62,78.46,63.4,Reliable,100
T009,Diana I.,Park Lane,June,215.9,139.2,18,6160.84,319.94,64,10,15.68,3385.31,94.81,15.62,64.47,69.23,88.09,66.3,Top-performer,200
T009,Diana I.,Park Lane,July,217.8,137.0,16,6875.1,372.46,20,6,15.68,3415.1,94.58,30.0,62.9,61.54,85.93,68.7,Top-performer,200
T009,Diana I.,Park Lane,August,89.8,68.8,20,3297.83,175.67,35,9,15.68,1408.06,94.67,25.71,76.61,76.92,90.21,72.0,Top-performer,200
T010,Yana J.,Garden Court,April,173.4,118.2,19,6201.09,271.84,105,12,16.36,2836.82,95.62,11.43,68.17,73.08,95.32,67.9,Top-performer,200
T010,Yana J.,Garden Court,May,206.4,155.6,19,6952.59,394.03,58,9,16.36,3376.7,94.33,15.52,75.39,73.08,81.31,67.2,Top-performer,200
T010,Yana J.,Garden Court,June,190.0,142.8,20,6556.87,320.26,47,15,16.36,3108.4,95.12,31.91,75.16,76.92,98.81,75.2,Top-performer,200
T010,Yana J.,Garden Court,July,214.4,168.1,12,6855.01,365.21,99,10,16.36,3507.58,94.67,10.1,78.4,46.15,77.8,64.5,Reliable,100
T010,Yana J.,Garden Court,August,213.3,140.5,19,6643.22,292.19,23,1,16.36,3489.59,95.6,4.35,65.87,73.08,82.35,63.1,Reliable,100
T011,Alina K.,North Studio,April,146.5,119.0,12,5036.06,290.7,93,6,17.04,2496.36,94.23,6.45,81.23,46.15,96.55,67.7,Top-performer,200
T011,Alina K.,North Studio,May,133.8,93.6,14,4975.33,199.56,33,13,17.04,2279.95,95.99,39.39,69.96,53.85,81.57,71.6,Top-performer,200
T011,Alina K.,North Studio,June,192.6,149.1,24,5528.21,248.68,35,14,17.04,3281.9,95.5,40.0,77.41,92.31,79.0,74.5,Top-performer,200
T011,Alina K.,North Studio,July,145.1,106.3,20,5992.71,346.55,98,13,17.04,2472.5,94.22,13.27,73.26,76.92,99.92,70.1,Top-performer,200
T011,Alina K.,North Studio,August,156.7,129.2,25,5374.96,295.81,101,8,17.04,2670.17,94.5,7.92,82.45,96.15,97.97,71.2,Top-performer,200
T012,Marta L.,Riverside,April,153.0,115.8,18,5226.21,283.63,50,8,16.79,2568.87,94.57,16.0,75.69,69.23,85.08,68.0,Top-performer,200
T012,Marta L.,Riverside,May,205.0,127.1,14,6403.72,345.03,110,6,16.79,3441.95,94.61,5.45,62.0,53.85,76.93,60.2,Reliable,100
T012,Marta L.,Riverside,June,137.1,100.9,23,3958.31,224.27,69,0,16.79,2301.91,94.33,0.0,73.6,88.46,100.7,67.6,Top-performer,200
T012,Marta L.,Riverside,July,187.2,130.1,10,7712.34,354.55,69,13,16.79,3143.09,95.4,18.84,69.5,38.46,91.15,67.4,Top-performer,200
T012,Marta L.,Riverside,August,182.8,146.2,17,6367.88,289.48,82,0,16.79,3069.21,95.45,0.0,79.98,65.38,86.67,65.2,Top-performer,200
T013,Lesia M.,Market Square,April,173.6,138.8,15,6903.56,403.1,99,0,15.11,2623.1,94.16,0.0,79.95,57.69,102.21,67.6,Top-performer,200
T013,Lesia M.,Market Square,May,162.9,124.7,12,6027.05,257.44,79,5,15.11,2461.42,95.73,6.33,76.55,46.15,76.51,63.2,Reliable,100
T013,Lesia M.,Market Square,June,133.1,86.9,20,4355.7,250.86,55,13,15.11,2011.14,94.24,23.64,65.29,76.92,82.57,67.6,Top-performer,200
T013,Lesia M.,Market Square,July,91.5,55.3,11,3842.88,180.61,103,2,15.11,1382.57,95.3,1.94,60.44,42.31,98.44,63.0,Reliable,100
T013,Lesia M.,Market Square,August,171.2,135.0,17,5271.43,213.01,39,7,15.11,2586.83,95.96,17.95,78.86,65.38,78.79,68.1,Top-performer,200
T014,Halyna N.,Riverside,April,173.7,128.7,16,5994.47,270.5,67,5,17.83,3097.07,95.49,7.46,74.09,61.54,93.18,67.0,Top-performer,200
T014,Halyna N.,Riverside,May,214.9,167.5,15,8919.66,376.07,23,9,17.83,3831.67,95.78,39.13,77.94,57.69,92.27,75.4,Top-performer,200
T014,Halyna N.,Riverside,June,207.1,143.7,16,6019.14,323.9,100,7,17.83,3692.59,94.62,7.0,69.39,61.54,78.06,62.7,Reliable,100
T014,Halyna N.,Riverside,July,188.1,152.8,13,7363.58,377.89,25,11,17.83,3353.82,94.87,44.0,81.23,50.0,90.98,76.4,Top-performer,200
T014,Halyna N.,Riverside,August,172.6,106.5,20,4863.37,235.39,82,3,17.83,3077.46,95.16,3.66,61.7,76.92,88.01,63.3,Reliable,100
T015,Tetiana O.,Market Square,April,130.7,107.6,24,4953.83,241.3,86,8,14.41,1883.39,95.13,9.3,82.33,92.31,93.48,70.6,Top-performer,200
T015,Tetiana O.,Market Square,May,208.7,165.6,24,7116.26,388.69,54,10,14.41,3007.37,94.54,18.52,79.35,92.31,100.55,73.6,Top-performer,200
T015,Tetiana O.,Market Square,June,196.3,122.0,24,6166.59,303.98,98,12,14.41,2828.68,95.07,12.24,62.15,92.31,85.09,65.6,Top-performer,200
T015,Tetiana O.,Market Square,July,149.2,101.6,25,4620.68,258.56,63,8,14.41,2149.97,94.4,12.7,68.1,96.15,101.41,70.2,Top-performer,200
T015,Tetiana O.,Market Square,August,178.2,119.2,10,6278.48,275.13,50,13,14.41,2567.86,95.62,26.0,66.89,38.46,89.66,68.4,Top-performer,200
